timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1737477893379,278,-8,200,OK,Thread Group 1-2,text,true,,4859,1482,8,8,https://betamg.ghtcorptest.com/(S(3pdei2hgpq5wtll55zij2kvr))/Default_new.aspx,143,0,0
1737477893379,143,-8-0,302,Found,Thread Group 1-2,text,true,,394,741,8,8,https://betamg.ghtcorptest.com/(S(byjrclzz31h2swfb25prkbe1))/Default_new.aspx,143,0,0
1737477893522,135,-8-1,200,OK,Thread Group 1-2,text,true,,4465,741,8,8,https://betamg.ghtcorptest.com/(S(3pdei2hgpq5wtll55zij2kvr))/Default_new.aspx,134,0,0
1737477893615,140,-131,200,OK,Thread Group 1-4,text,true,,2140,718,8,8,https://betamg.ghtcorptest.com/Images/Menu/Production.svg,140,0,0
1737477893621,136,-123,200,OK,Thread Group 1-5,text,true,,1590,723,8,8,https://betamg.ghtcorptest.com/Images/Menu/ExportableOffer.svg,135,0,0
1737477893621,151,-137,200,OK,Thread Group 1-3,text,true,,23425,746,8,8,https://betamg.ghtcorptest.com/(S(byjrclzz31h2swfb25prkbe1))/Fonts/Titillium/Titillium-RegularUpright.woff2,134,0,0
1737477893461,318,-66,200,OK,Thread Group 1-7,text,true,,3494,1600,8,8,https://betamg.ghtcorptest.com/(S(ss3skdqpreulv2gp11aqtatv))/Header2.aspx,165,0,0
1737477893627,152,-115,200,OK,Thread Group 1-6,text,true,,1397,716,8,8,https://betamg.ghtcorptest.com/Images/Menu/Security.svg,152,0,0
1737477893461,165,-66-0,302,Found,Thread Group 1-7,text,true,,386,800,8,8,https://betamg.ghtcorptest.com/(S(byjrclzz31h2swfb25prkbe1))/Header2.aspx,165,0,0
1737477893627,152,-66-1,200,OK,Thread Group 1-7,text,true,,3108,800,8,8,https://betamg.ghtcorptest.com/(S(ss3skdqpreulv2gp11aqtatv))/Header2.aspx,152,0,0
1737477893638,146,-24,200,OK,Thread Group 1-1,text,true,,1331,723,8,8,https://betamg.ghtcorptest.com/WebResource.axd?d=JoBkLzP19aTuxbWOhHobYuyzGPf4rnk4f6YwXlmKuiSf5lZ1EMgz7TQqHJ6d30qXGFXUZg2&t=638562564440000000,146,0,0
1737477893657,136,-23,200,OK,Thread Group 1-2,text,true,,6361,723,8,8,https://betamg.ghtcorptest.com/WebResource.axd?d=pynGkmcFUV13He1Qd6_TZKEbM4CcK6YN3Y2s8CE2ULgcbSVqC31bHjEP2L8DSSlh_QTlUQ2&t=638562564440000000,134,0,0
1737477893756,145,-133,200,OK,Thread Group 1-4,text,true,,1369,711,8,8,https://betamg.ghtcorptest.com/Images/Menu/SEM.svg,145,0,0
1737477893757,145,-125,200,OK,Thread Group 1-5,text,true,,2047,720,8,8,https://betamg.ghtcorptest.com/Images/Menu/Procurements.svg,144,0,0
1737477893780,126,-118,200,OK,Thread Group 1-6,text,true,,2190,710,8,8,https://betamg.ghtcorptest.com/Images/Menu/HR.svg,126,0,0
1737477893773,139,-142,200,OK,Thread Group 1-3,text,true,,2519,715,8,8,https://betamg.ghtcorptest.com/Images/Menu/Reports.svg,139,0,0
1737477893785,133,-26,200,OK,Thread Group 1-1,text,true,,2092,760,8,8,https://betamg.ghtcorptest.com/(S(byjrclzz31h2swfb25prkbe1))/Images/NewLoginImages/password.svg,133,0,0
1737477893794,125,-24,200,OK,Thread Group 1-2,text,true,,1331,723,8,8,https://betamg.ghtcorptest.com/WebResource.axd?d=JoBkLzP19aTuxbWOhHobYuyzGPf4rnk4f6YwXlmKuiSf5lZ1EMgz7TQqHJ6d30qXGFXUZg2&t=638562564440000000,125,0,0
1737477893902,157,-138,200,OK,Thread Group 1-4,text,true,,2003,717,8,8,https://betamg.ghtcorptest.com/Images/Menu/Inventory.svg,157,0,0
1737477893902,157,-126,200,OK,Thread Group 1-5,text,true,,2767,717,8,8,https://betamg.ghtcorptest.com/Images/Menu/Hardgoods.svg,157,0,0
1737477893913,149,-143,200,OK,Thread Group 1-3,text,true,,1799,717,8,8,https://betamg.ghtcorptest.com/Images/Menu/Dashboard.svg,149,0,0
1737477888529,5505,,200,"Number of samples in transaction : 30, number of failing samples : 0",Thread Group 1-3,,true,,91555,28405,8,8,null,4567,28,294
1737477893907,156,-116,200,OK,Thread Group 1-6,text,true,,1750,716,8,8,https://betamg.ghtcorptest.com/Images/Menu/Settings.svg,156,0,0
